paperId,author,paperName,majorId
262,"Le Thanh Nguyen Huynh, Thi Nhu Quynh Nguyen, Nguyen Thao Trang Le, Thi Thu Trang Nguyen, Le Bang Phung, Tuan Kiet Huynh, Thai Hoang Nguyen, Viet Hai Le, Dai Lam Tran and Trong Lu Le",NANOCOMPOSITE TiO2/CNTs FOR HIGH PERFORMANCE ELECTROCHEMICAL SUPERCAPACITORS,0
327,Nguyễn Kim Hưng and Nguyễn Công Tránh,Nghiên cứu tổng hợp chất chống cháy mới cho vải cotton,0
329,"Mai Thanh Thi Nguyen, Huu Tho Le, Truong Nhat Van Do, Hai Xuan Nguyen, Phu Hoang Dang and Trung Nhan Nguyen",STUDY ON THE PHARMACEUTICAL EFFECTS OF THE EXTRACT AND THE NANOPARTICLE POWDER FROM BOESENBERGIA PANDURATA,0
330,"Huu Tho Le, Trang Ngoc Tran Vo, Tam Thanh Thi Tran, Mai Thanh Thi Nguyen and Hai Xuan Nguyen",d-TOCOPHEROL DERIVATIVES AND α -GLUCOSIDASE INHIBITORY ACTIVITY FROM THE LEAVES OF Muntingia calabura,0
331,"Huu Tho Le, Trang Thuy Thi Pham, Thinh Quang Bui, Nga Thuy Thanh Le, Trung Nhan Nguyen and Mai Thanh Thi Nguyen",DIARYLHEPTANOIDS FROM THE CHLOROFORM EXTRACT OF Cucurma aromatica Salisb. RHIZOMES,0
332,"Huu Tho Le, Giang Le Thi Nguyen, Ngan Kim Thi Ngo, Mai Thanh Thi Nguyen, Trung Nhan Nguyen and Hai Xuan Nguyen",CHEMICAL CONSTITUENTS FROM THE ETHYL ACETATE EXTRACT OF THE ZINGIBER MONTANUM RHIZOMES,0
333,"Thu Minh Tran Hoang, Huu Tho Le, Truong Nhat Van Do and Mai Thanh Thi Nguyen",OPTIMIZATION OF THE EXTRACTION PROCESS AND PRELIMINARY PHYTOCHEMICAL INVESTIGATION OF POLYCIAS FRUTICOSA (L.) HARMS ROOTS,0
348,"Nguyen Ngan Tuan, Ngo Hoang Long, Ho Thi Thanh Nguyen, Pham Hoang Vinh and Nguyen Thai Hoang",INTRODUCING AN LOW-COST PVA/SSA/GA COMPOSITE AS ION-EXCHANGE MEMBRANE INTO MCDI SYSTEM,0
349,"Tran Thanh Nhut, Ngo Hoang Long, Ho Thi Thanh Nguyen, Huynh Le Thanh Nguyen, Le Viet Hai and Nguyen Thai Hoang",PREPARATION OF ACTIVATED CARBON/CARBON NANOTUBE ELECTRODE APPLIED ON CAPACITY DEIONIZATION,0
383,"Thu Huong Nguyen, Minh Hien Nguyen Thi, Diem Thuy Tran Thi and Ngoc Ai Nguyen Thi",Phát triển quy trình phân tích tetracycline trên điện cực glassy carbon bằng phương pháp von-ampe,0
384,"My Anh Nguyen Thi, Yen Nhung Tran Thi, Ngoc Ha Bui Nguyen, Phu Dang and Trung Nhan Nguyen",INVESTIGATION OF CHEMICAL CONSTITUENTS FROM THE FLOWERS OF CALOTROPIS GIGANTEA LINN. (ASCLEPIADACEAE),0
413,"Truong Nhat Van Do, Phong Hoai Le, Phong Thai Tu, Hai Xuan Nguyen and Mai Thanh Thi Nguyen",CHEMICAL CONSTITUENTS FROM THE ETHYL ACETATE EXTRACT OF THE LIANAS OF GNETUM MONTANUM,0
414,"Quyen My Pham, Luan The Nguyen, Trang Thien Thi Huynh and Vu Tan Huynh",Effects of precursors pre-treatment on the morphology and surface functional groups of ZnO in hydrothermal synthesis,0
415,"Truong Van Nhat Do, Thanh Dong Duong, Truc Minh Thuy Vang, Tho Huu Le, Hai Xuan Nguyen and Mai Thanh Thi Nguyen",CHEMICAL CONSTITUENTS FROM THE ETHYL ACETATE EXTRACT OF THE STEMS OF TAXOTROPHIS ILICIFOLIUS,0
417,"Truong Van Nhat Do, Hai Xuan Nguyen, Tho Huu Le, Phong Huu Nguyen, Tri Thanh Nguyen, An Thuy Thi Le, Mai Thanh Nguyen and Mai Thanh Thi Nguyen",CHEMICAL CONSTITUENTS FROM THE ETHYL ACETATE EXTRACT OF THE RHIZOMES OF CURCUMA ZEDOARIA,0
421,"Truong Van Nhat Do, Tho Huu Le, Hai Xuan Nguyen and Mai Thanh Thi Nguyen",ANTI-ULCER ACTIVITIES OF EXTRACT FROM THE RHIZOME OF BOESENBERGIA PANDURATA,0
422,Thuy Nguyen Thi Thanh,EFFECT OF ATMOSPHERIC ENVIRONMENT TO PRODUCE PbSnS3 BY SOLID STATE REACTION,0
