sessionId,paperId,date,paperName,author,summary,linkZoom,linkPdf
4011,45,10:00-10:20,"Using hydrochemical facies evolution (hfe-d) method to evaluate seawater intrusion in the upper pliocene aquifer on Long Xuyen quadrangle and Ca Mau Peninsula, Southern Vietnam","Thi Thuy Van Le, Thi Thuy Hang Nguyen, Thi Thuy Luyen Nguyen and Hong Thang Chau",,,
4011,,10:20-10:40,Một số đặc điểm trầm tích tầng mặt khu vực bồn trũng Phú Khánh,"Bùi Minh Chung, Trần Văn Bình, Nguyễn Hữu Hải, Phạm Bá Trung",,,
4011,55,10:40-11:00,Geotechnical characteristics of the late Pleistocene-Holocene sediments in the evolving direction of the mekong delta,"Minh Hoang Truong, Dinh Thanh Nguyen, Thi Phuong Uyen Ngo, Van Lap Nguyen, Thi Kim Oanh Ta and Jiro Takemura",,,
4011,120,11:00-11:20,Applying artificial neural networks to predict gas compressibility factor for natural gases,Tam Tran Nguyen Thien and Trong Nguyen Van,,,
4011,128,11:20-11:40,Một số kết quả nghiên cứu hang động núi lửa Basalt Miền Đông Nam Bộ,Thiềm Quốc Tuấn and Đỗ Văn Nhuận,,,
4011,194,11:40-12:00,Phân tích các yếu tố kiến tạo để hình thành và phát triển rìa đông bể trầm tích Nam Côn Sơn,Tuan Huynh Tan and Luan Bui Thi,,,
4012,201,13:30-13:50,"Xây Dựng Và Ứng Dụng Mô Hình Địa Chất 3d Trong Đánh Giá Trữ Lượng Dầu Tại Chỗ, Mỏ Đông Dương, Lô 02/97, Bồn Trũng Cửu Long","Xuan Tran Van, Tuan Nguyen, Kha Nguyen Xuan, Thanh Truong Quoc, Lan Tran Duc and Trieu Tran Thai",,,
4012,274,14:10-14:30,Using of in-situ micro x-ray computed tomography in investigating the effect of confining pressure on permeability and fracture aperture,"Chuyen Pham, Li Zhuang, Sun Yeom, Changlun Sun, Sung-Gyu Jung and Hyu-Soung Shin",,,
4012,206,14:50-15:10,Tích hợp tài liệu vật lý vỉa đánh giá đặc trưng biểu hiện dầu khí mỏ X,"Thanh Truong Quoc, Van Xuan Tran, Nguyen Tuan and Kha Nguyen Xuan",,,
4012,291,15:10-15:30,"Đặc điểm địa chất, chất lượng và ứng dụng trong gốm sứ của Feldspar Đak Rve-Kontum","Trương Chí Cường, Phạm Trung Hiếu, Phạm Minh and Trương Minh Lương",,,
4012,311,15:50-16:10,"Gemstone Qualified Amber Discovered In Phu Quoc Island, Kien Giang Province, Vietnam","Ngọc Năng Lê, Trung Hiếu Phạm, Vĩnh Phát Lâm and Minh Tiến Phạm",,,
4012,312,16:10-16:30,"Tiến Hóa Vỏ Lục Địa Archean Đến Paleoproterozoi Khu Vực Đới Phan Si Pan, Tây Bắc Việt Nam: bằng chứng từ tuổi đồng vị U-Pb Zircon và địa hóa đồng vị Sr-Nd-Hf",Hieu Pham Trung and Minh Pham,,,
4012,53,16:30-16:50,"Selecting a suitable site for solar farm in Bac Binh District, Binh Thuan Province, Vietnam","Dinh Thanh Nguyen, Minh Hoang Truong, Diem Trinh Phan, Thi My Trinh Nguyen and Yuya Yamato",,,
4012,,16:50-17:10,"Đặc điểm thạch học, khoáng vật, thạch địa hóa của granit vùng Anh Sơn, Nghệ An và khoáng hóa liên quan","Phạm Thế Tài, Mai Kim Vinh, Lưu Thế Long, Đinh Quang Sang1, Nguyễn Viết Lâm",,,
