sessionId,paperId,date,paperName,author,summary,linkZoom,linkPdf
0011,499,13:00-13:20,"Xây dựng các cơ sở dữ liệu và công cụ cho việc đánh giá, quản lý chất lượng và xác định nguồn gốc trà Việt Nam.","TS. Trần Thị Như Trang
 Khoa Kỹ thuật Thực phẩm và Môi trường, Trường Đại học Nguyễn Tất Thành",,,
0011,447,13:20-13:40,Khảo sát chất lượng chuối theo độ tuổi và bảo quản sau thu hoạch. Xác định độ trưởng thành của chuối bằng phương pháp phổ hồng ngoại gần kết hợp phân tích dữ liệu đa biến.,"ThS. Nguyễn Phúc Thịnh
 Khoa Hóa học, Trường Đại học Khoa học Tự nhiên, ĐHQG-HCM",,,
0021,205,13:40-14:00,Điều chế hydrogel nhạy nhiệt và tương thích sinh học Alginate-Pluronic F127 ứng dụng trong tái tạo mô,"PGS.TS. Trần Ngọc Quyển
 Viện Khoa học Vật liệu ứng dụng.",,,
0021,328,14:00-14:20,"Nghiên cứu tác động kháng viêm, giảm đau của cao chiết và sản phẩm bột nano hòa tan từ cây Cà gai leo (Solanum procumbens Lour.)","ThS. Lê Hữu Thọ
 Khoa Hóa học, Trường Đại học Khoa học Tự nhiên, ĐHQG-HCM",,,
0021,93,14:20-14:40,Tổng hợp và chức năng hóa vật liệu khung hữu cơ kim loại để chế tạo acid brønsted rắn,"ThS. Đặng Đình Minh Huy
 Trung tâm Nghiên cứu Vật liệu Cấu trúc Nano và Phân tử, ĐHQG-HCM",,,
0031,153,15:20-15:40,Hoạt tính xúc tác quang của ZnS pha tạp F lên quá trình phân hủy Alizarin Red S dưới điều kiện ánh sáng UV,"TS. Nguyễn Bình Phương Nhân
 Khoa Hóa học, Trường Đại học Khoa học Tự nhiên, ĐHQG-HCM",,,
0031,162,15:40-16:00,Ứng dụng dung môi sâu eutectic của choline chloride -urea và choline chloride - ethylene glycol làm dung môi cho dung dịch điện ly trong pin mặt trời chất màu nhạy quang,"CN. Nguyễn Đệ
 Khoa Hóa học, Trường Đại học Khoa học Tự nhiên, ĐHQG-HCM",,,
0041,258,16:00-16:20,Đặc điểm của pin nhiên liệu vi sinh vật sử dụng nước thải lên men sinh hydro,"ThS. Đái Huệ Ngân
 Khoa Hóa học, Trường Đại học Khoa học Tự nhiên, ĐHQG-HCM",,,
0041,347,16:20-16:40,Xử lý nhiệt than hoạt tính gáo Dừa bằng khí CO2 ứng dụng làm điện cực trong thiết bị điện dung khử ion,"ThS. Hồ Thị Thanh Nguyên
 Khoa Hóa học, Trường Đại học Khoa học Tự nhiên, ĐHQG-HCM",,,
0041,122,16:40-17:00,Đánh giá một số phương pháp cải thiện hiệu năng của pin coin-cell Na-ion hoàn chỉnh,"ThS. Nguyễn Văn Hoàng 
 Phòng thí nghiệm Hóa lý Ứng dụng, Trường Đại học Khoa học Tự nhiên, ĐHQG-HCM",,,
