sessionId,paperId,date,paperName,author,summary,linkZoom,linkPdf
1011,,13:00-13:05,Giới thiệu Hội thảo Công nghệ sinh học phục vụ đồng bằng sông Mekong,,,,
1011,,13:05-13:25,"Sinh tổng hợp, quá trình tích lũy và sự đóng góp trong hệ thống phòng vệ của thực vật chống lại côn trùng",TS. Cao Đăng Việt,,,
1011,204,13:25-13:45,Đánh giá hoạt tính của nước hoạt hoá plasma trong việc kháng Fusarium spp. và Phytophthora spp. gây bệnh trên cây tiêu (Piper nigrum I.),"An Ha Than, Ho Sen Lu, Nhung Duong, Huu Thien Pham and Vo Ky Duyen Nguyen",,,
1011,,13:45-14:05,Tín hiệu phân tử ATP hoạt hoá cơ chế phòng vệ trong thực vật,TS. Phạm Quốc An,,,
1011,,14:05-14:25,Tương tác giữa thực vật và vi khuẩn thông qua phân tử tín hiệu ngoại bào của vi khuẩn gây bệnh,TS. Trần Minh Tuấn,,,
1011,,14:25-14:45,Thảo luận chung,Chủ trì: GS. TS. Bùi Văn Lệ,,,
1011,,15:00-15:20,"Canh tác thông minh ứng phó biến đổi khí hậu, biến động thị trường và hỗ trợ quy hoạch",TS. Nguyễn Trương Nhẫn Tánh,,,
1011,,15:20-15:40,Một số cập nhật về bệnh trên cây trồng do virus và nghiên cứu xử lý virus trên cây ăn quả nhóm Prunus,TS. Nguyễn Hữu Hoàng,,,
1011,179,15:40-16:00,Nghiên cứu một số đặc tính sinh học của cây bạc hà đa bội hoá (Mentha piperita L.),"Vo Hong Thanh, Tu Luu Thi Thanh, Thuy Le Huong and Thao Huynh Thanh",,,
1011,,16:00-16:20,Điều hoà phiên mã nhóm gene protein phosphatase 2C (PP2C) trong đáp ứng với stress muối,TS. Nguyễn Hoài Nguyên,,,
1011,,16:20-16:40,Thảo luận chung,Chủ trì: GS. TS. Bùi Chí Bửu,,,
1021,215,13:00-13:30,Molecular biomarkers for diagnosing gastrointestinal stromal tumors (GISTS),"Quynh Nguyen Ngoc My, Tuan Nguyen Huu Ngoc and Tu Thai Anh",,,
1021,249,13:30-14:00,Developing quantitative stemloop RT-qPCR method for mir-195,"Luân Huỳnh Hữu, Thanh Nguyễn Thị Ngọc and Huệ Nguyễn Thị",,,
1021,399,14:00-14:30,"Production of recombinant 
 SARS-CoV-2 proteins","Phuc Vo Ho My, Khoi Le Tran Dang, Phuc Nguyen Hoang Thien, Nuong Nguyen Thi My and Vy Nguyen Thuy",,,
1021,403,14:30-15:00,The effect of Vietnamese Helicobacter pylori on cell cycle and nhej pathway of ags cell line,The Sang Doan and Thuy Vy Nguyen,,,
1021,411,15:00-15:30,Genetic characteristic and diverisity in virulent factors cagPAI and vacA of Helicobacter pylori strains isolated from Vietnam,"Thien-Phuc Nguyen Hoang, Thuy-Vy Nguyen, Phuc Huynh Van, Trinh Nguyen Ngoc Trinh, Trang Nguyen Hoa and Motiur Rahman",,,
1021,240,15:45-16:15,"Cập nhật danh sách động vật thân mềm chân bụng và hai mảnh vỏ vùng ven biển cần giờ, thành phố Hồ Chí Minh",Tiến Trần Văn and Tú Nguyễn Văn,,,
1021,243,16:15-16:45,Nghiên cứu ảnh hưởng độ ẩm của đất và độ ngập sâu của nước lên sự tạo củ năng kim (Eleocharis ochrostachys Steud.) ở điều kiện thí nghiệm,Võ Thị Phượng Võ Thị Phượng and Nguyễn Du Sanh,,,
1021,117,16:45-17:15,"Study on Isolation, Screening and Evaluation of Chlorpyrifos Degradation Ability BY aerobic organism from agricultural soil in Lam Dong","Tham Luong, Dat Nguyen, Tham Nguyen, Trang Nguyen, Tin Dang and Nhung Ta",,,
1021,226,17:15-17:45,Ảnh hưởng của độ mặn lên sự hấp thu nitrate và phosphate của rong Ulva intestinalis,"Nguyen Van Tu, Le Thi Cam Ha and Le Trang",,,
1031,92,13:00-13:15,Sodium citrate inhibits proliferation and induces apoptosis of hepatocellular carcinoma cells,"Phuc Vo, Sinh Nguyen, Nghia Do, Kiet Truong and Phuc Pham",,,
1031,105,13:15-13:30,Queen’s college step test – heart rate standard curve for boy students of Thuc hanh Saigon high school – Ho Chi Minh city Vietnam,Mai Ngọc Dũng and Phan Thụy Phương Thảo,,,
1031,108,13:30-13:45,Inhibition of calcium oxalate crystallisation causing kidney stones in vitro by an extract of Morus alba l. leaves,Tuan Nguyen Pham,,,
1031,222,13:45-14:00,Study on creating bio-ink from gelatin – alginate to apply in developing 3d-bioprinted scaffolds,"Nghia Phan Thi Hieu, My Nguyen Thi Ngoc and Ha Tran Le Bao",,,
1031,224,14:00-14:15,The effects of platelet rich plasma on mouse oocyte maturation in vitro,Tuyet Le and Ha Tran,,,
1031,423,14:30-14:45,Treatment of osteochonral femoral head defect in rats using human umbilical cord mesenchymal stem cell sheet,"Thuan Le, Ngoc Vu, Phat Huynh, Phuc Pham and Xuan To",,,
1031,429,14:45-15:00,Nghiên cứu tác động của tác nhân ức chế tự thực bào trên gan chuột tổn thương cấp tính do thắt ống dẫn mật,"Trinh le Van, Hong Thuy Phan Thi, Thanh Minh Dang and Nhung Truong",,,
1031,444,15:00-15:15,Đánh giá hiệu quả của phương pháp đông lạnh mô buồng trứng heo với mảnh mô gồm vùng vỏ và vùng tuỷ,"Linh Khanh Chu, Long Thanh Dang and San Cam Nguyen Lu",,,
1031,500,15:15-15:30,Mô hình tế bào gốc ung thư vú trong sàng lọc chất kháng phân bào,"Nhan Pham, Phuc Pham",,,
1041,115,13:00-13:20,Factors affecting the development of antibiotic resistant bacteria in surface water of river system in Ho Chi Minh city,"Trương Thông, Lê Thái Hoàng and Trần Linh Thước",,,
1041,191,13:20-13:40,"Isolation, selection Bacillus spp. strains against fungus Fusarium proliferatum","Nguyễn Thị Thanh Kiều, Lê Thị Ánh Hồng, Bạch Ngọc Minh, Huỳnh Hoàn Mỹ and Phạm Thị Minh Ngọc",,,
1041,365,13:40-14:00,Xây dựng quy trình multiplex pcr phát hiện các gen nhóm cry1 trên Bacillus thuringiensis,"Thanh Truyen Pham, Nhu Nhut Nguyen and Bao Linh Ton",,,
1041,407,14:00-14:20,Generation of Bacillus subtilis carrying mutant hla from Staphylococcus aureus fused with cotB and cotG and studying the immunoresponse in mice,"Lan Duong Ngoc Hong, Nhi Nguyen Ngoc Yen, Hoang Nguyen Duc, Hanh Phan Thi Thu, Tam Nguyen Thanh, An Nguyen Khanh and Thanh Nguyen Tien",,,
1041,425,14:50-15:10,Constructing models for predicting strength of sigma α factor dependent promoter in Bacillus subtilis,"Trung Nghia Pham, Anh Tu Nguyen Phan, Nam Vo and Duc Hoang Nguyen",,,
1041,462,15:10-15:30,Optimization of medium culture for zinc-enriched Ophiocordyceps sinensis biomass by response surface methodology,"Thu Tran Thi Minh, Hoang Nguyen Tai, Phong Le Quoc, Hiep Dinh Minh and Suong Ngo Ke",,,
1041,481,15:30-15:50,Development of integrated IPTG inducible expression vectors with Pgrac promoters for the production of recombinant proteins in Bacillus subtilis,"Chu Thi Bich Phuong, Phan Thị Phượng Trang and Nguyễn Đức Hoàng",,,
