sessionId,paperId,date,paperName,author,summary,linkZoom,linkPdf
9011,408,13:30-13:50,SPEEDYSPEECH MODEL WITH NORMALIZATION FOR FASTER VIETNAMESE SPEECH SYNTHESIS,"Nguyen Minh Tri, Do Tri Nhan and Cao Xuan Nam",,,
9011,515,13:50-14:10,Vietnamese Speech Synthesis with End-to-End Model and Text Normalization,"Do Tri Nhan, Nguyen Minh Tri and Cao Xuan Nam",,,
9011,526,14:10-14:30,Enhancing Speech Feature with Envelope Subtraction via Linear Regression,"Hao Do Duc, Duc Chau Thanh and Son Tran Thai",,,
9011,533,14:30-14:50,Supersonic SNARKs and application,Duy Do Hoang Anh,,,
9011,534,14:50-15:10,SRGAN with Total Variation Loss in Face Super-Resolution,"Hai Nguyen-Truong, Khoa Nguyen and San Cao",,,
9021,527,15:45-16:00,Synthesis of User Interface Attack Scenarios on Android Devices and Defense System,"Minh Quan Nguyen, Gia Hao Phan and Anh Duy Tran",,,
9021,516,16:00-16:15,Deep Fake Image Detection,"Ngan Vo, Khoa D Phan and Anh-Duy Tran",,,
9021,540,16:15-16:30,Đề xuất kiến trúc GAN toàn cục-cục bộ để cải thiện bài toán hoàn thành ảnh,"Nguyễn Ngọc Thảo, Phạm Băng Đăng, Thái Thanh Sang, Nguyễn Minh Thành",,,
9021,521,16:30-16:45,DEEPMEM10: Applying Graph Neural Network Models for Memory Forensic Analysis,"Ngoc-Huy Vo, Quang-Khai Tran and Anh-Duy Tran",,,
9021,522,16:45-17:00,OS-Independent Malware Detection Using Machine Learning,"Giang T. Nguyen, Huy Q. Le and Duy A. Tran",,,
9021,525,17:00-17:15,An all-in-one Digital Image Forensic Tool for Image Forgery Detection,"Quynh Chau Long Vu, Hai Son Nguyen and Anh Duy Tran",,,
9031,524,13:30-13:50,Phương pháp đạt hiệu suất cao cho nhận dạng hành động bằng khung xương trên các video có nhiều thách thức,"Huy Quoc Vo, Tien-Hao Phung and Ngoc Quoc Ly",,,
9031,395,13:50-14:10,REMOVE NON-LANDMARK TO IMPROVE LANDMARK RECOGNITION,"Anh Kiet Duong, Seshuraju Pentakota and Xuan Nam Cao",,,
9031,530,14:10-14:30,Multi-Branch Network with Dynamically Matching Algorithm in Person Re-Identification,"Thang Dao, Thang Dinh and Tien Dinh",,,
9031,532,14:30-14:50,Video Object Annotation with Interactive Segmentation,"Quoc-Cuong Tran, Lam Nguyen and Minh-Triet Tran",,,
9031,535,14:50-15:10,Vehicle Counting: Survey and Experiments,"Hoang-Phong La, Minh-Thao Ha, Long Nguyễn Bảo Hải and Manh-Thien Nguyen",,,
9041,154,15:40-16:00,Modeling Interdependent and Periodic Real-World Action Sequences,Mai Bùi Thị Ngọc and Thư Nguyễn Thị Anh,,,
9041,517,16:00-16:20,Biến thể văn bản tiếng Việt: Khai thác các đặc trưng ngôn ngữ trong kho ngữ liệu tự sự và phi tự sự,"Võ Diệp Như, Bùi Thanh Tường Thuỵ and Đinh Điền",,,
9041,523,16:20-16:40,Sentiment Analysis Implementing Bert-Based Pretrained Language Model for Vietnamese,"Trong-Loc Truong, Hanh-Linh Le and Thien-Phuc Le-Dang",,,
9041,537,16:40-17:00,Building an English-Vietnamese paraphrase corpus,Nguyen Le Thanh,,,
9041,538,17:00-17:20,Hit Song Prediction based on Gradient Boosting Decision Tree,"Bang-Dang Pham, Minh-Triet Tran and Hoang Long Pham",,,
9051,Media Eval 1,8:00-8:15,Automatic Polyp Segmentation Task 2020: PraNet and ResUnet++ for Polyps Segmentation,"Tien-Phat Nguyen, Tan-Cong Nguyen, Gia-Han Diep, Minh-Quan Le, Hoang-Phuc Nguyen-Dinh, Hai-Dang Nguyen",,,
9051,Media Eval 2,8:15-8:30,Refined Deep Neural Network and UNet for Polyps Segmentation,"Quoc Huy Trinh, Minh Van Nguyen, Thiet Gia Huynh",,,
9051,Media Eval 3,8:30-8:45,Ensembles of Temporal Deep Neural Networks for Table Tennis Strokes Classification Task,"Hai Nguyen-Truong, San Cao, N. A. Khoa Nguyen, Bang-Dang Pham, Hieu Dao, Minh-Quan Le, Hoang-Phuc Nguyen-Dinh, Hai-Dang Nguyen",,,
9051,Media Eval 4,8:45-9:00,Quality Camouflage with Back Propagation and Image Enhancement,"Minh-Khoi Pham, Hai-Tuan Ho-Nguyen, Trong-Thang Pham, Vinh-Hung Tran, Hai-Dang Nguyen",,,
9051,Media Eval 5,9:00-9:15,Image-Text Fusion for Automatic News-Images Re-Matching,"Thuc Nguyen-Quang, Tuan-Duy Nguyen, Thang-Long Nguyen-Ho, Anh-Kiet Duong, Xuan-Nhat Hoang, Vinh-Thuyen Nguyen-Truong, Hai-Dang Nguyen",,,
9051,Media Eval 6,9:15-9:30,HCMUS at MediaEval 2020: Emotion Classification Using Wavenet Feature with SpecAugment and EfficientNet,"Tri-Nhan Do, Minh-Tri Nguyen, Hai-Dang Nguyen, Minh-Triet Tran and Xuan-Nam Cao",,,
9061,528,8:00-8:15,An Experiment on Dog Breed Classification Model using Convolution Neural Network,Duy Vu-Tran and Lê Minh Nguyễn,,,
9061,529,8:15-8:30,Trends Prediction by Ranking Content Patterns on Social Networks,Nhat-Hoang Nguyen Phan and Thanh Le-Viet,,,
9061,531,8:30-8:45,GAN Generated Portraits Detection Using Modified VGG-16 and EfficientNet,"Kha-Luan Pham, Khanh-Mai Dang, Loi-Phat Tang and Thanh-Nhan Nguyen",,,
9061,536,8:45-9:00,A Scalable - High Performance Lightweight Distributed File System,"Tu Doan Minh, Quang Nguyen Minh and Tien Dinh",,,
9001,,10:00-12:00,Bài giảng về Công nghệ Blockchain,PGS. TS. Nguyễn Đình Thúc and TS. Trần Trung Dũng,,,
