majorId,sessionId,sessionName,sessionName_en,room,linkZoom,day,startDate,endDate
6,6011,Khoa học Môi trường,Envionmental Science,F.200,,1,10:00,11:15
6,6012,Khoa học Môi trường,Envionmental Science,F.200,,2,13:30,16:15
6,6021,Quản lý và Tin học Môi trường,Environmental Management and Informatics,F.202,,1,10:00,11:15
6,6022,Quản lý và Tin học Môi trường,Environmental Management and Informatics,F.203,,2,13:30,16:45
6,6031,Công nghệ Môi trường,Environmental Technology,F.203,,1,10:00,11:15
6,6032,Công nghệ Môi trường,Environmental Technology,F.203,,2,13:30,16:45
