sessionId,paperId,date,paperName,author,summary,linkZoom,linkPdf
6011,113,10:00-10:15,"Fine particulate matter concentrations during 2020 Lunar New Year holidays and the COVID-19 pandemic in Ho Chi
Minh City, Vietnam","Cong-Thanh Tran, Anh-Ngan Tran, Le-My-Thuan Nguyen, Ly-Bao-Chau Tsan, Tzong-Gang Wu, Chang-Fu Wu, Thi-Hien To and Kuo-Liong Chien",,,
6011,E5,10:15-10:30,"Sử dụng ảnh vệ tinh LANDSAT ước tính sinh khối của khu dự trữ sinh quyển cần giờ, Tp. Hồ Chí Minh","Nguyễn Trường Ngân, Nguyễn Thị Phương",,,
6011,E11,10:30-10:45,Nghiên cứu điều kiện môi trường trồng rau vùng cao để phục vụ nhân dân,Nguyễn Thị Ngọc Ẩn,,,
6011,ESD05,10:45-11:00,"Cấu trúc phân bố của quần xã động vật đáy không xương sống cỡ lớn tại cửa sông Ba Lai, Tỉnh Bến Tre","Trần Thành Thái, Nguyễn Thị Mỹ Yến, Trần Thị Hoàng Yến, Phạm Thanh Lưu, Ngô Xuân Quảng",,,
6011,1-VJSTE,11:00-11:15,"Diversity of zooplankton and benthic macroinvertebrates of estuarine coastal waters in Tien Giang province, southern Vietnam","Nguyen Thuy Lan Chi, Dinh Thi Thu Huong, Dang Thi Cam Tu, Pham Anh Duc",,,
6012,227,13:30-13:45,Đánh giá tác động của hạn mặn tại tỉnh Sóc Trăng,"Thuy Thị Minh Mai, Tánh Trần Nhẫn Nguyễn, Huệ Thị Xuân Nguyễn, Thanh Đan Võ and Như Đỗ Hiếu Huỳnh",,,
6012,ESD18,13:45-14:00,Ảnh hưởng của sự thay đổi thảm phủ đến nhiệt độ bề mặt đất và bốc thoát hơi nước tại thượng lưu sông Đồng Nai,"Bùi Nguyễn Lâm Hà, Vũ Văn Nghị",,,
6012,270,14:00-14:15,Nghiên cứu dự báo xâm nhập mặn cho khu vực Đồng Bằng Sông Cửu Long,"Hồ Công Toàn, Nguyễn Phương Đông, Trần Tuấn Hoàng, Châu Thanh Hải, Nguyễn Văn Hồng",,,
6012,54,14:15-14:30,Development a set of environmental risk assessment criteria for loading/unloading and storage of hazardoud and noxious substanus at seaports,"Anh Tuấn Trần, Đình Lân Trần and Kim Định Ngô",,,
6012,ESD26,14:30-14:45,Đánh giá sự phân bố nồng độ bụi PM2.5 ở khu vực nội thành TP.HCM bằng viễn thám,"Trần Quang Trà, Nguyễn Phúc Hiếu, Đào Nguyên Khôi",,,
